,Date,Monthly_MSL
227,1932-01-01,-0.13
228,1932-02-01,-0.156
229,1932-03-01,-0.172
230,1932-04-01,-0.163
231,1932-05-01,-0.16
232,1932-06-01,-0.163
233,1932-07-01,-0.153
234,1932-08-01,-0.144
235,1932-09-01,-0.153
236,1932-10-01,-0.207
237,1932-11-01,-0.142
238,1932-12-01,-0.062
239,1933-01-01,-0.115
240,1933-02-01,-0.135
241,1933-03-01,-0.178
242,1933-04-01,-0.105
243,1933-05-01,-0.105
244,1933-06-01,-0.084
245,1933-07-01,-0.12
246,1933-08-01,-0.098
247,1933-09-01,-0.122
248,1933-10-01,-0.067
249,1933-11-01,-0.114
250,1933-12-01,-0.187
251,1934-01-01,-0.148
252,1934-02-01,-0.199
253,1934-03-01,-0.178
254,1934-04-01,-0.151
255,1934-05-01,-0.196
256,1934-06-01,-0.169
257,1934-07-01,-0.178
258,1934-08-01,-0.196
259,1934-09-01,-0.146
260,1934-10-01,-0.146
261,1934-11-01,-0.166
262,1934-12-01,-0.12
263,1935-01-01,-0.075
264,1935-02-01,-0.144
265,1935-03-01,-0.126
266,1935-04-01,-0.096
267,1935-05-01,-0.172
268,1935-06-01,-0.157
269,1935-07-01,-0.138
270,1935-08-01,-0.125
271,1935-09-01,-0.202
272,1935-10-01,-0.103
273,1935-11-01,-0.111
274,1935-12-01,-0.141
275,1936-01-01,-0.124
276,1936-02-01,-0.089
277,1936-03-01,-0.153
278,1936-04-01,-0.166
279,1936-05-01,-0.056
280,1936-06-01,-0.054
281,1936-07-01,-0.102
282,1936-08-01,-0.134
283,1936-09-01,-0.116
284,1936-10-01,-0.094
285,1936-11-01,-0.124
286,1936-12-01,-0.053
287,1937-01-01,-0.063
288,1937-02-01,-0.001
289,1937-03-01,-0.123
290,1937-04-01,-0.099
291,1937-05-01,-0.053
292,1937-06-01,-0.136
293,1937-07-01,-0.074
294,1937-08-01,-0.058
295,1937-09-01,-0.098
296,1937-10-01,-0.094
297,1937-11-01,-0.127
298,1937-12-01,-0.123
299,1938-01-01,-0.124
300,1938-02-01,-0.114
301,1938-03-01,-0.144
302,1938-04-01,-0.117
303,1938-05-01,-0.12
304,1938-06-01,-0.127
305,1938-07-01,-0.156
306,1938-08-01,-0.11
307,1938-09-01,-0.174
308,1938-10-01,-0.146
309,1938-11-01,-0.09
310,1938-12-01,-0.117
311,1939-01-01,-0.118
312,1939-02-01,-0.114
313,1939-03-01,-0.114
314,1939-04-01,-0.124
315,1939-05-01,-0.117
316,1939-06-01,-0.13
317,1939-07-01,-0.132
318,1939-08-01,-0.122
319,1939-09-01,-0.134
320,1939-10-01,-0.076
321,1939-11-01,-0.099
322,1939-12-01,-0.138
323,1940-01-01,-0.169
324,1940-02-01,-0.172
325,1940-03-01,-0.166
326,1940-04-01,-0.197
327,1940-05-01,-0.151
328,1940-06-01,-0.161
329,1940-07-01,-0.144
330,1940-08-01,-0.092
