Date,Monthly_MSL
1910-02-01,7.289
1910-03-01,7.236
1910-04-01,7.2
1910-05-01,7.259
1910-06-01,7.131
1910-07-01,7.241
1910-08-01,7.154
1910-09-01,7.054
1910-10-01,7.113
1910-11-01,7.173
1910-12-01,7.0
1911-01-01,7.239
1911-02-01,7.295
1911-03-01,7.325
1911-04-01,7.214
1911-05-01,7.234
1911-06-01,7.102
1911-07-01,7.219
1911-08-01,7.107
1911-09-01,7.319
1911-10-01,7.173
1911-11-01,7.334
1911-12-01,7.023
1912-01-01,6.99
1912-02-01,7.118
1912-03-01,7.186
1912-04-01,7.316
1912-05-01,7.288
1912-06-01,7.303
1912-07-01,7.024
1912-08-01,7.216
1912-09-01,7.295
1912-10-01,7.112
1912-11-01,7.218
1912-12-01,7.444
1913-01-01,7.225
1913-02-01,7.188
1913-03-01,7.528
1913-04-01,7.288
1913-05-01,7.134
1913-06-01,7.278
1913-07-01,7.254
1913-08-01,7.26
1913-09-01,6.985
1913-10-01,6.968
1913-11-01,7.333
1913-12-01,7.609
1914-01-01,7.344
1914-02-01,7.423
1914-03-01,7.303
1914-04-01,7.214
1914-05-01,7.354
1914-06-01,7.15
1914-07-01,7.099
1914-08-01,7.154
1914-09-01,7.136
1914-10-01,7.148
1914-11-01,6.913
1914-12-01,7.221
1915-01-01,7.063
1915-02-01,7.05
1915-03-01,7.138
1915-04-01,7.255
1915-05-01,7.232
1915-06-01,7.206
1915-07-01,7.179
1915-08-01,7.24
1915-09-01,7.226
1915-10-01,6.903
1915-11-01,7.006
1915-12-01,7.169
1916-01-01,7.317
1916-02-01,7.326
1916-03-01,6.973
1916-04-01,7.156
1916-05-01,7.177
1916-06-01,7.181
1916-07-01,7.166
1916-08-01,7.225
1916-09-01,7.16
1916-10-01,7.22
1916-11-01,7.086
1916-12-01,7.054
1917-01-01,6.98
1917-02-01,6.979
1917-03-01,6.995
1917-04-01,7.194
1917-05-01,7.169
1917-06-01,7.068
1917-07-01,7.039
1917-08-01,7.004
1917-09-01,7.211
1917-10-01,7.347
1917-11-01,7.309
1917-12-01,7.476
1918-01-01,7.265
1918-02-01,7.193
1918-03-01,7.06
1918-04-01,6.982
1918-05-01,6.905
1918-06-01,7.239
1918-07-01,7.209
1918-08-01,7.176
1918-09-01,7.322
1918-10-01,7.261
1918-11-01,7.066
1918-12-01,7.067
1919-01-01,7.021
1919-02-01,6.953
1919-03-01,6.995
1919-04-01,7.176
1919-05-01,7.041
1919-06-01,7.22
1919-07-01,7.184
1919-08-01,7.366
1919-09-01,7.224
1919-10-01,7.261
1919-11-01,6.87
1919-12-01,7.094
1920-01-01,7.212
1920-02-01,7.249
1920-03-01,7.327
1920-04-01,7.141
1920-05-01,7.288
1920-06-01,7.169
1920-07-01,7.113
1920-08-01,7.218
1920-09-01,7.101
1920-10-01,6.84
1920-11-01,6.911
1920-12-01,6.766
1921-01-01,7.256
1921-02-01,7.208
1921-03-01,7.284
1921-04-01,7.285
1921-05-01,7.121
1921-06-01,7.214
1921-07-01,7.251
1921-08-01,7.24
1921-09-01,7.232
1921-10-01,7.258
1921-11-01,7.162
1921-12-01,7.131
1922-01-01,7.303
1922-02-01,6.951
1922-03-01,7.289
1922-04-01,7.087
1922-05-01,7.238
1922-06-01,7.289
1922-07-01,7.195
1922-08-01,7.239
1922-09-01,7.131
1922-10-01,7.0
1922-11-01,7.139
1922-12-01,7.253
1923-01-01,7.212
1923-02-01,7.179
1923-03-01,6.839
1923-04-01,6.868
1923-05-01,7.189
1923-06-01,7.352
1923-07-01,7.203
1923-08-01,7.342
1923-09-01,7.252
1923-10-01,7.383
1923-11-01,7.447
1923-12-01,7.17
1924-01-01,6.97
1924-02-01,7.138
1924-03-01,7.12
1924-04-01,7.196
1924-05-01,7.149
1924-06-01,7.157
1924-07-01,7.254
1924-08-01,7.084
1924-09-01,7.107
1924-10-01,7.099
1924-11-01,7.11
1924-12-01,7.033
1925-01-01,7.4
1925-02-01,7.357
1925-03-01,7.127
1925-04-01,7.113
1925-05-01,7.064
1925-06-01,7.217
1925-07-01,7.058
1925-08-01,7.145
1925-09-01,7.292
1925-10-01,7.263
1925-11-01,7.131
1925-12-01,7.139
1926-01-01,7.051
1926-02-01,6.926
1926-03-01,7.263
1926-04-01,7.115
1926-05-01,7.095
1926-06-01,7.102
1926-07-01,7.039
1926-08-01,7.173
1926-09-01,7.266
1926-10-01,7.18
1926-11-01,7.083
1926-12-01,7.093
1927-01-01,7.193
1927-02-01,7.097
1927-03-01,7.103
1927-04-01,7.255
1927-05-01,7.35
1927-06-01,7.32
1927-07-01,7.129
1927-08-01,7.128
1927-09-01,7.167
1927-10-01,7.267
